,Code,Description1
11805,L2200001003,"Addition to lower extremity, limited ankle motion, each joint"
11806,L2210001003,"Addition to lower extremity, dorsiflexion assist (plantar flexion resist), each"
11807,L2210002004,joint
11808,L2220001003,"Addition to lower extremity, dorsiflexion and plantar flexion assist/resist,"
11809,L2220002004,each joint
11810,L2230001003,"Addition to lower extremity, split flat caliper stirrups and plate attachment"
11811,L2232001003,"Addition to lower extremity orthosis, rocker bottom for total contact ankle"
11812,L2232002004,"foot orthosis, for custom fabricated orthosis only"
11813,L2240001003,"Addition to lower extremity, round caliper and plate attachment"
11814,L2250001003,"Addition to lower extremity, foot plate, molded to patient model, stirrup"
11815,L2250002004,attachment
11816,L2260001003,"Addition to lower extremity, reinforced solid stirrup (scott-craig type)"
11817,L2265001003,"Addition to lower extremity, long tongue stirrup"
11818,L2270001003,"Addition to lower extremity, varus/valgus correction ('t') strap, padded/lined"
11819,L2270002004,or malleolus pad
11820,L2275001003,"Addition to lower extremity, varus/valgus correction, plastic modification,"
11821,L2275002004,padded/lined
11822,L2280001003,"Addition to lower extremity, molded inner boot"
11823,L2300001003,"Addition to lower extremity, abduction bar (bilateral hip involvement),"
11824,L2300002004,"jointed, adjustable"
11825,L2310001003,"Addition to lower extremity, abduction bar-straight"
11826,L2320001003,"Addition to lower extremity, non-molded lacer, for custom fabricated orthosis"
11827,L2320002004,only
11828,L2330001003,"Addition to lower extremity, lacer molded to patient model, for custom"
11829,L2330002004,fabricated orthosis only
11830,L2335001003,"Addition to lower extremity, anterior swing band"
11831,L2340001003,"Addition to lower extremity, pre-tibial shell, molded to patient model"
11832,L2350001003,"Addition to lower extremity, prosthetic type, (bk) socket, molded to patient"
11833,L2350002004,"model, (used for 'ptb' 'afo' orthoses)"
11834,L2360001003,"Addition to lower extremity, extended steel shank"
11835,L2370001003,"Addition to lower extremity, patten bottom"
11836,L2375001003,"Addition to lower extremity, torsion control, ankle joint and half solid stirru"
11837,L2380001003,"Addition to lower extremity, torsion control, straight knee joint, each joint"
11838,L2385001003,"Addition to lower extremity, straight knee joint, heavy duty, each joint"
11839,L2387001003,"Addition to lower extremity, polycentric knee joint, for custom fabricated knee"
11840,L2387002004,"ankle foot orthosis, each joint"
11841,L2390001003,"Addition to lower extremity, offset knee joint, each joint"
11842,L2395001003,"Addition to lower extremity, offset knee joint, heavy duty, each joint"
11843,L2397001003,"Addition to lower extremity orthosis, suspension sleeve"
11844,L2405001003,"Addition to knee joint, drop lock, each"
11845,L2415001003,"Addition to knee lock with integrated release mechanism (bail, cable, or"
11846,L2415002004,"equal), any material, each joint"
11847,L2425001003,"Addition to knee joint, disc or dial lock for adjustable knee flexion, each"
11848,L2425002004,joint
11849,L2430001003,"Addition to knee joint, ratchet lock for active and progressive knee extension,"
11850,L2430002004,each joint
11851,L2492001003,"Addition to knee joint, lift loop for drop lock ring"
11852,L2500001003,"Addition to lower extremity, thigh/weight bearing, gluteal/ ischial weight"
11853,L2500002004,"bearing, ring"
11854,L2510001003,"Addition to lower extremity, thigh/weight bearing, quadri- lateral brim, molded"
11855,L2510002004,to patient model
11856,L2520001003,"Addition to lower extremity, thigh/weight bearing, quadri- lateral brim, custom"
11857,L2520002004,fitted
11858,L2525001003,"Addition to lower extremity, thigh/weight bearing, ischial containment/narrow"
11859,L2525002004,m-l brim molded to patient model
11860,L2526001003,"Addition to lower extremity, thigh/weight bearing, ischial containment/narrow"
11861,L2526002004,"m-l brim, custom fitted"
11862,L2530001003,"Addition to lower extremity, thigh-weight bearing, lacer, non-molded"
11863,L2540001003,"Addition to lower extremity, thigh/weight bearing, lacer, molded to patient"
11864,L2540002004,model
11865,L2550001003,"Addition to lower extremity, thigh/weight bearing, high roll cuff"
11866,L2570001003,"Addition to lower extremity, pelvic control, hip joint, clevis type two"
11867,L2570002004,"position joint, each"
11868,L2580001003,"Addition to lower extremity, pelvic control, pelvic sling"
11869,L2600001003,"Addition to lower extremity, pelvic control, hip joint, clevis type, or thrust"
11870,L2600002004,"bearing, free, each"
11871,L2610001003,"Addition to lower extremity, pelvic control, hip joint, clevis or thrust"
11872,L2610002004,"bearing, lock, each"
11873,L2620001003,"Addition to lower extremity, pelvic control, hip joint, heavy duty, each"
11874,L2622001003,"Addition to lower extremity, pelvic control, hip joint, adjustable flexion, eac"
11875,L2624001003,"Addition to lower extremity, pelvic control, hip joint, adjustable flexion,"
11876,L2624002004,"extension, abduction control, each"
11877,L2627001003,"Addition to lower extremity, pelvic control, plastic, molded to patient model,"
11878,L2627002004,reciprocating hip joint and cables
11879,L2628001003,"Addition to lower extremity, pelvic control, metal frame, reciprocating hip"
11880,L2628002004,joint and cables
11881,L2630001003,"Addition to lower extremity, pelvic control, band and belt, unilateral"
11882,L2640001003,"Addition to lower extremity, pelvic control, band and belt, bilateral"
11883,L2650001003,"Addition to lower extremity, pelvic and thoracic control, gluteal pad, each"
11884,L2660001003,"Addition to lower extremity, thoracic control, thoracic band"
11885,L2670001003,"Addition to lower extremity, thoracic control, paraspinal uprights"
11886,L2680001003,"Addition to lower extremity, thoracic control, lateral support uprights"
11887,L2750001003,"Addition to lower extremity orthosis, plating chrome or nickel, per bar"
11888,L2755001003,"Addition to lower extremity orthosis, high strength, lightweight material, all"
11889,L2755002004,"hybrid lamination/prepreg composite, per segment, for custom fabricated"
11890,L2755003004,orthosis only
11891,L2760001003,"Addition to lower extremity orthosis, extension, per extension, per bar (for"
11892,L2760002004,lineal adjustment for growth)
11893,L2768001003,"Orthotic side bar disconnect device, per bar"
11894,L2780001003,"Addition to lower extremity orthosis, non-corrosive finish, per bar"
11895,L2785001003,"Addition to lower extremity orthosis, drop lock retainer, each"
11896,L2795001003,"Addition to lower extremity orthosis, knee control, full kneecap"
11897,L2800001003,"Addition to lower extremity orthosis, knee control, knee cap, medial or lateral"
11898,L2800002004,"pull, for use with custom fabricated orthosis only"
11899,L2810001003,"Addition to lower extremity orthosis, knee control, condylar pad"
11900,L2820001003,"Addition to lower extremity orthosis, soft interface for molded plastic, below"
11901,L2820002004,knee section
11902,L2830001003,"Addition to lower extremity orthosis, soft interface for molded plastic, above"
11903,L2830002004,knee section
11904,L2840001003,"Addition to lower extremity orthosis, tibial length sock, fracture or equal,"
11905,L2840002004,each
11906,L2850001003,"Addition to lower extremity orthosis, femoral length sock, fracture or equal,"
11907,L2850002004,each
11908,L2861001003,"Addition to lower extremity joint, knee or ankle, concentric adjustable torsion"
11909,L2861002004,"style mechanism for custom fabricated orthotics only, each"
11910,L2999001003,"Lower extremity orthoses, not otherwise specified"
11911,L3000001003,"Foot, insert, removable, molded to patient model, 'ucb' type, berkeley shell,"
11912,L3000002004,each
11913,L3001001003,"Foot, insert, removable, molded to patient model, spenco, each"
11914,L3002001003,"Foot, insert, removable, molded to patient model, plastazote or equal, each"
11915,L3003001003,"Foot, insert, removable, molded to patient model, silicone gel, each"
11916,L3010001003,"Foot, insert, removable, molded to patient model, longitudinal arch support,"
11917,L3010002004,each
11918,L3020001003,"Foot, insert, removable, molded to patient model, longitudinal/ metatarsal"
11919,L3020002004,"support, each"
11920,L3030001003,"Foot, insert, removable, formed to patient foot, each"
11921,L3031001003,"Foot, insert/plate, removable, addition to lower extremity orthosis, high"
11922,L3031002004,"strength, lightweight material, all hybrid lamination/prepreg composite, each"
11923,L3040001003,"Foot, arch support, removable, premolded, longitudinal, each"
11924,L3050001003,"Foot, arch support, removable, premolded, metatarsal, each"
11925,L3060001003,"Foot, arch support, removable, premolded, longitudinal/ metatarsal, each"
11926,L3070001003,"Foot, arch support, non-removable attached to shoe, longitudinal, each"
11927,L3080001003,"Foot, arch support, non-removable attached to shoe, metatarsal, each"
11928,L3090001003,"Foot, arch support, non-removable attached to shoe, longitudinal/metatarsal,"
11929,L3090002004,each
11930,L3100001003,"Hallus-valgus night dynamic splint, prefabricated, off-the-shelf"
11931,L3140001003,"Foot, abduction rotation bar, including shoes"
11932,L3150001003,"Foot, abduction rotation bar, without shoes"
11933,L3160001003,"Foot, adjustable shoe-styled positioning device"
11934,L3161001003,"Foot, adductus positioning device, adjustable"
11935,L3170001003,"Foot, plastic, silicone or equal, heel stabilizer, prefabricated,"
11936,L3170002004,"off-the-shelf, each"
11937,L3201001003,"Orthopedic shoe, oxford with supinator or pronator, infant"
11938,L3202001003,"Orthopedic shoe, oxford with supinator or pronator, child"
11939,L3203001003,"Orthopedic shoe, oxford with supinator or pronator, junior"
11940,L3204001003,"Orthopedic shoe, hightop with supinator or pronator, infant"
11941,L3206001003,"Orthopedic shoe, hightop with supinator or pronator, child"
11942,L3207001003,"Orthopedic shoe, hightop with supinator or pronator, junior"
11943,L3208001003,"Surgical boot, each, infant"
11944,L3209001003,"Surgical boot, each, child"
11945,L3211001003,"Surgical boot, each, junior"
11946,L3212001003,"Benesch boot, pair, infant"
11947,L3213001003,"Benesch boot, pair, child"
11948,L3214001003,"Benesch boot, pair, junior"
11949,L3215001003,"Orthopedic footwear, ladies shoe, oxford, each"
11950,L3216001003,"Orthopedic footwear, ladies shoe, depth inlay, each"
11951,L3217001003,"Orthopedic footwear, ladies shoe, hightop, depth inlay, each"
11952,L3219001003,"Orthopedic footwear, mens shoe, oxford, each"
11953,L3221001003,"Orthopedic footwear, mens shoe, depth inlay, each"
11954,L3222001003,"Orthopedic footwear, mens shoe, hightop, depth inlay, each"
11955,L3224001003,"Orthopedic footwear, woman's shoe, oxford, used as an integral part of a brace"
11956,L3224002004,(orthosis)
11957,L3225001003,"Orthopedic footwear, man's shoe, oxford, used as an integral part of a brace"
11958,L3225002004,(orthosis)
11959,L3230001003,"Orthopedic footwear, custom shoe, depth inlay, each"
11960,L3250001003,"Orthopedic footwear, custom molded shoe, removable inner mold, prosthetic shoe,"
11961,L3250002004,each
11962,L3251001003,"Foot, shoe molded to patient model, silicone shoe, each"
11963,L3252001003,"Foot, shoe molded to patient model, plastazote (or similar), custom fabricated,"
11964,L3252002004,each
11965,L3253001003,"Foot, molded shoe plastazote (or similar) custom fitted, each"
11966,L3254001003,Non-standard size or width
11967,L3255001003,Non-standard size or length
11968,L3257001003,"Orthopedic footwear, additional charge for split size"
11969,L3260001003,"Surgical boot/shoe, each"
11970,L3265001003,"Plastazote sandal, each"
11971,L3300001003,"Lift, elevation, heel, tapered to metatarsals, per inch"
11972,L3310001003,"Lift, elevation, heel and sole, neoprene, per inch"
11973,L3320001003,"Lift, elevation, heel and sole, cork, per inch"
11974,L3330001003,"Lift, elevation, metal extension (skate)"
